2025-05-21 14:00:16,508 - INFO - Starting Bobbi the Watchdog
2025-05-21 14:00:16,508 - INFO - Capturing ICMP packets on eth0 for 20 seconds
2025-05-21 14:00:16,508 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:00:16,526 - ERROR - Failed to capture ICMP packets: Interface 'eth0' not found !
2025-05-21 14:00:16,526 - INFO - No DDoS threats detected.
2025-05-21 14:00:16,526 - INFO - Capturing TCP packets on eth0 for 20 seconds
2025-05-21 14:00:16,526 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:00:16,526 - INFO - Capturing TCP packets on eth0 for 20 seconds
2025-05-21 14:00:16,544 - ERROR - Failed to capture TCP packets: Interface 'eth0' not found !
2025-05-21 14:00:16,544 - INFO - No file captured for malware analysis.
2025-05-21 14:00:16,544 - INFO - Finished
2025-05-21 14:00:38,154 - INFO - Starting Bobbi the Watchdog
2025-05-21 14:00:38,154 - INFO - Capturing ICMP packets on eth0 for 20 seconds
2025-05-21 14:00:38,154 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:00:38,172 - ERROR - Failed to capture ICMP packets: Interface 'eth0' not found !
2025-05-21 14:00:38,172 - INFO - No DDoS threats detected.
2025-05-21 14:00:38,173 - INFO - Capturing TCP packets on eth0 for 20 seconds
2025-05-21 14:00:38,173 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:00:38,173 - INFO - Capturing TCP packets on eth0 for 20 seconds
2025-05-21 14:00:38,190 - ERROR - Failed to capture TCP packets: Interface 'eth0' not found !
2025-05-21 14:00:38,190 - INFO - No file captured for malware analysis.
2025-05-21 14:00:38,190 - INFO - Finished
2025-05-21 14:00:56,202 - INFO - Starting Bobbi the Watchdog
2025-05-21 14:00:56,202 - INFO - Capturing ICMP packets on en0 for 20 seconds
2025-05-21 14:00:56,202 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:00:56,203 - ERROR - Failed to capture ICMP packets: Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)
2025-05-21 14:00:56,203 - INFO - No DDoS threats detected.
2025-05-21 14:00:56,203 - INFO - Capturing TCP packets on en0 for 20 seconds
2025-05-21 14:00:56,203 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:00:56,203 - INFO - Capturing TCP packets on en0 for 20 seconds
2025-05-21 14:00:56,203 - ERROR - Failed to capture TCP packets: Permission denied: could not open /dev/bpf0. Make sure to be running Scapy as root ! (sudo)
2025-05-21 14:00:56,203 - INFO - No file captured for malware analysis.
2025-05-21 14:00:56,203 - INFO - Finished
2025-05-21 14:01:07,941 - INFO - Starting Bobbi the Watchdog
2025-05-21 14:01:07,941 - INFO - Capturing ICMP packets on en0 for 20 seconds
2025-05-21 14:01:07,941 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:01:27,956 - INFO - No DDoS threats detected.
2025-05-21 14:01:27,957 - INFO - Capturing TCP packets on en0 for 20 seconds
2025-05-21 14:01:27,957 - INFO - Detected container IP: 26.10.0.120
2025-05-21 14:01:27,958 - INFO - Capturing TCP packets on en0 for 20 seconds
2025-05-21 14:01:40,282 - INFO - Captured 558 bytes from 142.250.200.138, total: 12693
2025-05-21 14:01:42,153 - INFO - Captured 1400 bytes from 140.82.114.22, total: 14093
2025-05-21 14:01:42,155 - INFO - Captured 1400 bytes from 140.82.114.22, total: 15493
2025-05-21 14:01:42,156 - INFO - Captured 1296 bytes from 140.82.114.22, total: 16789
2025-05-21 14:01:42,158 - INFO - Captured 1400 bytes from 140.82.114.22, total: 18189
2025-05-21 14:01:42,159 - INFO - Captured 182 bytes from 140.82.114.22, total: 18371
2025-05-21 14:01:42,285 - INFO - Captured 79 bytes from 140.82.114.22, total: 18450
2025-05-21 14:01:42,286 - INFO - Captured 79 bytes from 140.82.114.22, total: 18529
2025-05-21 14:01:42,662 - INFO - Captured 585 bytes from 140.82.114.22, total: 19114
2025-05-21 14:01:42,663 - INFO - Captured 24 bytes from 140.82.114.22, total: 19138
2025-05-21 14:01:47,964 - INFO - File saved to captured_files/captured_file
